Job No.,Project Name,Address,Permit,Contractor,Cell Phone,Project Manager,
19-0096,#18002,"357 NW 77th St, Seattle",6652338-CN,Sage Homes N.W.,(206) 660-3446,Isaac,
18-0886,113 Row Houses,"1340 14th Avenue S, Seattle",6615859,"Green City Development, L",(206) 378-8590,Isaac,
19-0072,1201 Alaskan Way Video Survey & Crack M,"1201 Alaskan Way, Seattle",,"Martin Smith, Inc.",,Jeff,
17-0260,1222 NE 65th Street,"1222 NE 65th Street, Seattle",6538040,"Blueprint Capital Services,",(425) 530-6061,Jeff,
18-1056,1332 South Pearl Street,"1332 South Pearl Street, Seattle",,,,Scott,
18-0029b,15th Avenue NW - South Parcel,"8009 15th Ave NW, Seattle",6494943,Sage Homes N.W.,(425) 919-2247,Jeff,
18-0552,168 Investment Projects,"2207 2nd Ave, Seattle",6595902-CN,"Constantine Builders, Inc.",206-601-0920,Jeff,
18-0908,1700 Residence,"1700 17th Ave E, Seattle",6681675-CN,"McKinney Group, Inc.",(206) 300-9550,Jeff,
16-0091,1701 Project,"1701 37th Avenue, Seattle",6300390,"White's Investments, LLC",(509) 421-1845,Jeff,
18-1051,1917 13th Ave S (SEA_145-150),"1917 13th Avenue South, Seattle",6547090,Green Canopy Homes,(206) 550-5030,Walter,
18-0983,"2018 Arterial Asphalt and Concrete, Packag","Beacon Hill, Various Locations, Seattle",,KC Equipment,(206) 380-4649,Jeff,
18-1059,2018 Big Rock Ballfield Restrooms,"28430 NE Big Rock Road, Duvall",,,,Isaac,
18-0514,2142 Residence,"2142 NW 201st Street, Shoreline",SFR17-0659,"Richmond Homes, LLC",(206) 683-5217,Jeff,
18-0343,2144 Residence,"2144 NW 201st Street, Shoreline",SFR17-0661,"Richmond Homes, LLC",(206) 683-5217,Jeff,
18-0565,2161 Harbor Avenue Southwest,"2161 Harbor Ave SW, Seattle",6466834,TCP Homes LLC,(425) 320-7848,Jeff,
18-0565a,2167 Harbor Avenue Southwest,"2167 Harbor Ave SW, Seattle",6411296,TCP Homes LLC,(425) 320-7848,Jeff,
18-0984,2307 23rd Avenue South Residence,"2307 23rd Ave S, Seattle",,,,Scott,
19-0049,2361 Minor Avenue East (Nest Project),"2361 Minor Ave E, Seattle",6605757-CN,Versatile Drilling Contractor,(206) 478-0450,Jeff,
19-0050,2371 Minor Avenue East (Nest Project),"2371 Minor Ave E, Seattle",6605758-CN,Versatile Drilling Contractor,(206) 478-0450,Jeff,
18-0925,24th Avenue (6707),"6707 24th Ave NW, Seattle",6638328-CN,"Insignia Construction, LLC",(206) 866-4258,Isaac,
18-0925a,24th Avenue (6709),"6709 24th Avenue NW, Seattle",6638325-CN,"Insignia Construction, LLC",(206) 866-4258,Isaac,
18-0464,2519 NE 82nd Street,"2519 NE 82nd St, Seattle",6571738,,,Scott,
19-0076,2521 NW 92nd Residence,"2521 NW 92nd St, Seattle",6604128-CN,NW Contour Building Comp,(425) 766-9815,Jeff,
18-0465,2525 NE 82nd Street,"2525 NE 82nd St, Seattle",6571739,,,Scott,
18-0898,26' Ballast Deck Approach Span and Open,"@ Rainier Welding, Redmond",,,,Walter,
17-0908b,26th Avenue Townhomes – 119 Lot,"119 26th Avenue East, Seattle",6577054,C A James,(206) 948-5423,Isaac,
17-0908c,26th Avenue Townhomes – 123 Lot,"123 26th Avenue East, Seattle",6575734,C A James,(206) 948-5423,Isaac,
17-0908,26th Avenue Townhomes - East Lot,"111 26th Avenue E, Seattle",6492073,C A James,(206) 948-5423,Isaac,
17-0908a,26th Avenue Townhomes - West Lot,"115 26th Avenue E, Seattle",6564684,C A James,(206) 948-5423,Isaac,
17-0235,3050 SW Avalon Way (Avalon Ave Micro H,"3050 SW Avalon Way, Seattle",6327295,"McDowell Northwest, Inc.",(206) 890-8790,Walter,
18-1070,3251 West Commodore Way (SEA_175-179,"3251 West Commodore Way, Seattle",6602117,Green Canopy Homes,,Walter,
19-0059,3303 31st Avenue SW,"3303 31st Ave SW, Seattle",,,,Scott,
18-0275,333 Residence,"333 25th Avenue E, Seattle",6458069,"Dao Property Development,",(206) 226-2557,Isaac,
19-0084,3408 East Laurelhurst Drive NE,"3408 E Laurelhurst Dr NE, Seattle",,,,Scott,
18-0655,34307 SE 270th Street,"34307 SE 270th Street, Ravensdale",DWEL18-0111,"Coons, David",(206) 769-9776,Jeff,
18-0236,3617 73rd Avenue SE,"3617 73rd Ave SE, Mercer Island",1704207,"Green City Development, L",(206) 437-8590,Jeff,
18-0205,4025 Stone Way N (Job #1801),"4025 Stone Way North, Seattle",6586498,"Village Builders, LLC",(206) 240-8997,Jeff,
17-0889a,403 Dexter Apartments - Structural,"403 Dexter Avenue N, Seattle",6561170,"Synergy Construction, Inc.",(206) 510-0136,Jeff,
17-0868,4116 E. Madison Street,"4116 E. Madison Street, Seattle",6542967,,,Isaac,
18-1038,4117 Short Plat - Lot A,"4111 83rd Avenue SE, Mercer Island",1708-317,"SeaScape Homes, LLC",(206) 972-9950,Jeff,
19-0040,4509 116th Ave SE,"4509 116th Ave SE, Bellevue",,,,Scott,
18-0621,500 Pacific Project,"500 Pacific Avenue, Bremerton",BB17-00270,Applied Restoration Inc.,360 359 8511,Isaac,
18-0513,51 University Building - Video Survey,"51 University, Seattle",,,(206) 423-3471,Jeff,
17-0621,510 Broadway Avenue,"510 Broadway Avenue, Seattle",6604172,STS Construction Services,(206) 551-8683,Jeff,
18-0903,519 Main Street Project,"519 Main Street, Edmonds",BLD2018-0727,"Build Love Global, LLC",(206) 579-1575,Walter,
19-0066,52nd Place Residence,"8720 SE 52nd Place, Mercer Island",1702-059,"Build Urban, LLC",,Jeff,
18-1042,5445 Residence,"5445 Fauntleroy Way SW, Seattle",6614244,"Palany Group, LTD",(253) 347-6910,Isaac,
18-0412,5936 36th Avenue South SIP,"5936 36th Ave S, Seattle",304826,"Ashworth Homes, LLC",425-350-4081,Jeff,
